Reference, Quantity, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status, Field4
CON6 CON7 CON5 CON3 CON4 CON1 CON2 ,7,"SJ1-3523N","digikey-footprints:Headphone_Jack_3.5mm_SJ1-3523N","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","/product-detail/en/cui-inc/SJ1-3523N/CP1-3523N-ND/738689","CONN JACK STEREO 3.5MM R/A","CP1-3523N-ND","Barrel - Audio Connectors","SJ1-3523N","CUI Inc.","Active",""
D2 D1 D3 ,3,"1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
J2 ,1,"640456-3","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","Connectors, Interconnects","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","/product-detail/en/te-connectivity-amp-connectors/640456-3/A19470-ND/259010","CONN HEADER VERT 3POS 2.54MM","A19470-ND","Rectangular Connectors - Headers, Male Pins","640456-3","TE Connectivity AMP Connectors","Active",""
J4 J3 J1 ,3,"OSTTC020162","digikey-footprints:Term_Block_1x2_P5mm","http://www.on-shore.com/wp-content/uploads/OSTTCXX0162.pdf","Connectors, Interconnects","http://www.on-shore.com/wp-content/uploads/OSTTCXX0162.pdf","/product-detail/en/on-shore-technology-inc/OSTTC020162/ED2600-ND/614549","TERM BLK 2POS SIDE ENTRY 5MM PCB","ED2600-ND","Terminal Blocks - Wire to Board","OSTTC020162","On Shore Technology Inc.","Active",""
J5 ,1,"SAMTEC-MTSW-118-10-X-D-640","SAMTEC-MTSW-118-10-X-D-640:SAMTEC-MTSW-118-10-X-D-640",""
J6 ,1,"PJ-102A","digikey-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-102A","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","/product-detail/en/cui-inc/PJ-102A/CP-102A-ND/275425","CONN PWR JACK 2X5.5MM SOLDER","CP-102A-ND","Barrel - Power Connectors","PJ-102A","CUI Inc.","Active",""
K1 K2 K3 ,3,"T9AS1D12-15","T9AS1D12-15:RELAY_T9AS1D12-15","https://www.te.com/usa-en/product-1-1393210-4.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493","","","","","","","","","","1-1393210-4"
Q1 ,1,"ULN2003AN","digikey-footprints:DIP-16_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fuln2003a","Discrete Semiconductor Products","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fuln2003a","/product-detail/en/texas-instruments/ULN2003AN/296-1979-5-ND/277624","IC PWR RELAY 7NPN 1:1 16DIP","296-1979-5-ND","Transistors - Bipolar (BJT) - Arrays","ULN2003AN","Texas Instruments","Active",""
R3 ,1,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R4 ,1,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
RLY1 ,1,"EC2-12NU","digikey-footprints:Relay_THT_EC2","https://api.kemet.com/component-edge/download/datasheet/EC2-12NU.pdf","Relays","https://api.kemet.com/component-edge/download/datasheet/EC2-12NU.pdf","/product-detail/en/kemet/EC2-12NU/399-11029-5-ND/4291095","RELAY GEN PURPOSE DPDT 2A 12VDC","399-11029-5-ND","Signal Relays, Up to 2 Amps","EC2-12NU","KEMET","Active",""